date,longitude,latitude,co,co2,ch4,nh3,pm25
1/8/2015,96.75,4.75,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.85,4.75,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.95,4.75,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.05,4.75,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.15,4.75,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.25,4.75,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.35,4.75,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.45,4.75,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.55,4.75,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.65,4.75,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.75,4.75,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.85,4.75,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.95,4.75,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.65,4.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.75,4.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.85,4.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.95,4.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.05,4.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.15,4.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.25,4.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.35,4.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.45,4.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.55,4.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.65,4.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.75,4.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.85,4.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.95,4.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.05,4.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.15,4.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.25,4.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.35,4.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.45,4.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.55,4.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.65,4.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.75,4.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.85,4.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.95,4.65,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.75,4.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.85,4.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.95,4.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.05,4.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.15,4.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.25,4.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.35,4.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.45,4.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.55,4.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.65,4.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.75,4.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.85,4.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.95,4.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.05,4.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.15,4.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.25,4.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.35,4.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.45,4.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.55,4.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.65,4.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.75,4.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.85,4.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.95,4.55,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.85,4.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.95,4.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.05,4.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.15,4.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.25,4.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.35,4.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.45,4.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.55,4.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.65,4.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.75,4.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.85,4.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.95,4.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.05,4.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.15,4.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.25,4.45,2.12E-13,3.39E-12,0,0,0
